#{"t_start": 1772229770.224811, "env_id": "highway-fast-v0"}
r,l,t
3.712841,5,0.069568
7.999376,10,0.18735
2.764354,4,0.236983
15.34535,20,0.466091
16.599603,23,0.746787
9.064135,12,0.888933
6.746491,8,0.985114
2.013463,3,1.024243
2.386537,4,1.074748
4.918624,7,1.159153
4.878375,6,1.230631
8.745875,11,1.357746
1.732711,3,1.397263
8.186836,12,1.540427
10.449108,15,1.720288
5.29974,8,1.814019
1.699378,3,1.85383
11.231459,16,2.042736
4.085994,7,2.129591
9.696865,11,2.25974
1.781819,3,2.298049
2.646796,4,2.347411
2.879363,4,2.396198
4.745055,6,2.473154
4.011549,5,2.539578
10.616906,14,2.717827
2.663732,4,2.771349
4.885975,6,2.849076
6.64679,8,2.95241
20.616348,28,3.307877
2.746174,4,3.36108
18.81264,20,3.623773
7.618085,11,3.765812
8.117616,12,3.920624
2.013463,3,3.964301
8.381827,12,4.127297
2.878878,4,4.185853
1.766045,3,4.230382
4.117913,5,4.300053
2.4,4,4.355988
15.96605,23,4.654822
10.885533,14,4.842353
3.299378,5,4.911631
23.043361,29,5.291397
4.313113,5,5.361543
13.24379,15,5.580112
6.331208,9,5.697632
2.946492,4,5.752068
8.481211,11,5.895345
8.779786,12,6.055771
4.782396,6,6.136019
1.733333,3,6.179987
22.776746,30,6.565513
12.96417,18,6.802545
1.019667,2,6.832793
9.844589,13,7.003776
5.613423,7,7.097921
6.214519,8,7.204468
2.633029,4,7.259849
7.948188,10,7.394295
4.148809,6,7.478411
1.715153,3,7.522144
3.552622,6,7.605595
4.512496,6,7.68927
6.602581,10,7.822094
12.864894,18,8.056485
3.315815,5,8.124138
3.547242,5,8.193062
1.880129,3,8.235881
4.84598,6,8.31517
21.844281,28,8.671524
2.76573,4,8.724354
4.666101,7,8.817766
4.764005,6,8.896333
5.651418,7,8.989089
9.113863,12,9.142298
22.985049,30,9.521749
4.944432,6,9.600131
5.17978,6,9.678486
1.699378,3,9.72046
2.796921,4,9.776266
4.610914,6,9.85568
21.93386,30,10.236476
9.485349,12,10.390164
22.652032,30,10.783398
1.131021,2,10.814669
3.799699,6,10.897743
5.912178,7,10.995478
5.015152,7,11.093779
3.78535,5,11.162349
2.886842,5,11.230629
4.231774,6,11.314089
2.765378,4,11.371207
2.466045,4,11.429167
6.431265,8,11.540235
4.119871,6,11.620339
9.868649,14,11.80484
3.364757,5,11.871679
13.897507,18,12.102733
5.478928,7,12.194349
2.186537,4,12.24918
7.830794,11,12.388295
5.431828,8,12.491635
12.613731,16,12.694913
3.94598,5,12.763161
5.584575,8,12.865623
6.681761,8,12.970769
23.628173,30,13.387253
8.952618,12,13.545859
8.24675,10,13.674698
1.632045,3,13.724885
6.885287,10,13.852977
2.999735,5,13.919661
21.518287,30,14.371949
7.852576,10,14.50128
2.746334,4,14.553478
4.380575,6,14.633994
23.714679,30,15.006041
3.499655,5,15.072653
6.031707,8,15.177394
5.065371,7,15.270114
2.682137,4,15.324319
4.149108,6,15.403321
6.131843,9,15.518127
17.59676,22,15.799136
5.499016,7,15.89029
3.101993,5,15.956744
3.317737,5,16.02353
10.467196,15,16.215578
7.64442,9,16.32976
3.364354,5,16.396241
10.67742,14,16.572298
14.265986,18,16.798941
4.079308,5,16.864558
3.645407,5,16.929902
7.699117,11,17.070059
11.377403,14,17.249022
16.529442,19,17.4904
7.646446,9,17.604916
6.23267,8,17.706463
2.749108,4,17.761207
10.011958,14,17.94036
3.432044,5,18.00561
9.497059,12,18.15862
22.545218,30,18.533612
4.453548,7,18.623839
3.71453,5,18.688408
8.350311,12,18.840567
4.166661,6,18.92272
9.262924,11,19.064116
4.765683,6,19.144153
22.317406,30,19.520827
22.3532,30,19.902125
21.086575,30,20.271825
6.012378,8,20.374935
6.779859,9,20.49184
4.279308,5,20.558654
1.748486,3,20.599745
7.444685,9,20.714746
5.111178,7,20.806336
2.253204,4,20.860242
7.179156,9,20.977987
4.478732,6,21.058364
4.365465,6,21.137542
3.779825,5,21.205418
9.611125,12,21.359312
4.785986,7,21.450013
11.89816,17,21.664352
13.281278,19,21.907614
12.078516,18,22.137869
16.010635,18,22.366403
14.663308,19,22.607456
13.480291,18,22.838495
4.116125,6,22.915671
4.645358,6,22.995101
2.766362,4,23.048823
4.430677,6,23.131589
18.196577,24,23.431654
16.644985,22,23.716654
7.419324,11,23.863932
3.812696,5,23.932876
1.632711,3,23.975576
3.019764,4,24.031756
16.715231,23,24.353567
4.313113,5,24.426391
1.980129,3,24.471836
8.019623,11,24.61644
5.512646,7,24.708618
17.797166,25,25.031787
7.178579,9,25.148971
14.080453,18,25.378024
2.933678,5,25.444467
22.68201,30,25.823826
2.013001,3,25.863995
1.715775,3,25.904134
7.099492,9,26.020798
14.980032,18,26.28564
3.767011,6,26.36706
16.878571,22,26.654726
6.601423,10,26.784958
2.648486,4,26.840847
5.681863,8,26.942707
7.396136,10,27.069764
6.096865,7,27.161715
4.733889,7,27.252874
7.119524,11,27.392561
10.146842,13,27.557409
8.747874,12,27.707828
8.678849,10,27.836307
11.79915,16,28.038826
19.949082,26,28.369189
9.186888,13,28.535731
5.665784,8,28.64165
17.412857,23,28.933698
1.950944,3,28.973339
11.019779,12,29.140261
21.501967,30,29.517381
10.551956,15,29.70722
2.697688,4,29.760332
3.56573,5,29.825819
22.852655,30,30.201989
23.908758,30,30.576852
16.476453,21,30.837493
8.131255,10,30.967913
3.918683,5,31.039143
8.413112,10,31.169537
1.766667,3,31.210431
6.513118,8,31.31393
3.913118,5,31.383297
16.613463,24,31.684885
19.034125,25,31.99767
22.217412,30,32.372647
4.03151,6,32.452955
1.733448,3,32.494919
18.552267,27,32.834863
12.586264,19,33.078768
3.615775,5,33.146492
12.768705,19,33.386807
3.712378,5,33.453889
18.195301,25,33.765686
4.912496,6,33.846468
4.982123,7,33.936726
1.279667,2,33.965764
23.085279,30,34.344397
3.112696,4,34.400176
3.615152,5,34.465093
5.182097,7,34.556033
4.512841,6,34.633912
3.480129,5,34.701881
12.144425,14,34.880013
3.945505,5,34.94498
4.645829,6,35.0231
5.11612,7,35.115682
10.11249,14,35.293478
2.953508,5,35.358687
9.078237,11,35.501307
8.197037,11,35.643147
7.913676,10,35.772664
5.119912,8,35.874774
2.885711,4,35.929181
10.346876,12,36.093047
3.248543,5,36.158778
17.235334,24,36.464026
11.014334,13,36.632164
7.65325,11,36.776598
3.012841,4,36.83025
2.046796,3,36.872737
