#{"t_start": 1772342752.702262, "env_id": "highway-v0"}
r,l,t
4.076095,5,0.066858
11.057853,13,0.218958
11.716054,15,0.39236
15.493223,19,0.616768
6.131477,8,0.71163
10.328978,12,0.853599
26.124637,34,1.253809
45.897017,58,1.957118
23.848779,33,2.336161
20.487896,28,2.665373
27.613272,37,3.146197
13.826876,16,3.331747
14.14394,19,3.557502
15.669954,19,3.779016
16.048088,23,4.044533
5.758639,7,4.127282
30.886978,40,4.587781
10.107847,13,4.73828
5.688086,7,4.820497
7.361905,10,4.937983
11.770466,16,5.121025
25.954086,33,5.508444
4.570597,7,5.591222
22.973176,28,5.915427
9.649998,14,6.119592
20.92836,28,6.453443
59.78155,80,7.400419
15.876786,23,7.671349
38.19666,50,8.25762
12.6284,17,8.451235
6.705952,8,8.54681
9.424701,12,8.685715
24.822585,33,9.062443
11.729751,15,9.276954
18.018778,22,9.532497
9.457812,12,9.671726
25.098685,35,10.079354
5.340133,7,10.161681
40.162214,53,10.766976
57.544362,80,11.688654
19.27276,26,11.990321
39.524264,53,12.659245
13.233777,18,12.869753
13.120141,17,13.066521
42.257255,59,13.746225
14.777036,21,14.040517
40.94106,54,14.66279
16.784419,23,14.928676
10.478597,15,15.111223
10.235418,13,15.304512
60.165005,80,16.250441
57.911449,78,17.15587
43.688228,61,17.856925
22.209956,30,18.246415
12.176856,15,18.421982
7.323156,11,18.55144
24.994686,34,18.957426
5.975135,9,19.06501
5.361707,7,19.14816
5.303975,7,19.229498
11.019531,15,19.40214
14.811205,20,19.632255
15.086397,17,19.830713
23.033689,32,20.204787
41.792709,57,20.893226
7.242306,10,21.011124
11.481935,15,21.188025
11.288258,14,21.391857
50.134289,65,22.168414
57.959293,80,23.09335
5.74793,8,23.18712
6.717409,9,23.292244
6.531737,10,23.409614
22.147919,30,23.757389
9.700271,14,23.920561
48.56602,65,24.713629
19.476732,26,25.020385
22.618644,30,25.375288
6.450139,10,25.493731
15.396945,21,25.74384
39.517211,52,26.375146
5.778161,7,26.459433
17.235286,24,26.771945
7.993592,12,26.917427
6.002373,8,27.016746
60.211776,80,28.017106
26.349298,34,28.438346
4.282559,6,28.511135
5.857993,9,28.618246
15.67541,21,28.875912
9.916353,12,29.033741
39.540569,54,29.71575
11.368656,14,29.889942
44.877681,58,30.565508
14.032658,20,30.844189
4.564244,6,30.917594
28.858517,43,31.447632
57.656744,80,32.407562
33.613466,48,32.97699
58.400871,80,33.962659
57.41603,77,34.885333
24.939183,36,35.313983
14.285298,20,35.553415
19.234517,27,35.864863
46.23305,63,36.608976
56.562827,80,37.582506
13.77011,20,37.817297
27.051206,36,38.227728
14.798399,20,38.463543
48.926779,63,39.188416
57.523662,80,40.159041
57.746184,80,41.115067
58.324639,80,42.099041
58.008076,80,43.056859
